Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
眼泪,没用,真的,0.8251,0.7263,0.6961
血,骨气,在,0.8285,0.338,0.0386
身体健康,健康,顺顺利利,0.9203,0.8573,0.6181
免疫力,早睡早起,肠道,0.8306,0.7822,0.6312
医院,后遗症,还好,0.8974,0.7056,0.3294
穿着,觉得,白,0.8444,0.8128,0.7472
月份,飞快,时间,0.6852,0.6687,0.6463
圣诞节,小花样,礼物,0.8522,0.8217,0.7762
上海,深夜,真是,0.667,0.6422,0.5985
养生,免疫系统,一杯,0.798,0.7375,0.508
爱心,温酒,等,0.7851,0.7748,0.4064
火锅,小花样,起,0.911,0.1784,-0.0243
高烧,本命年,有毒,0.8951,0.4526,0.4473
聪明,爱心,早安,0.8477,0.8209,0.7936
小花样,广告,酒,0.7848,0.7302,0.3835
皮肤科,病痛,脚踏实地,0.909,0.9081,0.1975
口罩,骚气,这,0.8949,0.8609,0.442
谋福利,汽车,购票,0.6542,0.5364,0.4058
一不小心,进口,突尼斯,0.8438,0.6763,0.5651
介绍信,单位,带回,0.6662,0.5156,0.511
健康,疫苗,涉案人员,0.6312,0.593,0.4441
哎,萌,养成,0.8116,0.7781,0.7609
认清,自己,言语,0.8389,0.7846,0.7417
鞋子,舒服,留言,0.8137,0.809,0.5395
不听话,痛苦,官位,0.7848,0.6248,0.3572
